round,country,survey_date,site_id,site_name,site_region,site_provence,site_district,site_latitude,site_longitude,site_location,site_class,site_type,site_shelter,smc_exist,smc_community,sma_exist,sma_name,sma_type,site_status,shelter_rem,site_electricty,water_operational,n_female,n_male,n_family,n_infants,n_infants_male,n_infants_female,n_child,n_child_male,n_child_female,n_youth,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_total,n_pregnant,n_lactating,n_physical_dis,n_mental_dis,n_chronic_ill,n_hoh_child,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,idp_leaving,return_area,origin_region,origin_province,origin_district,per_hh_outside,per_hh_tents,per_hh_makeshift,per_hh_indoors,water_location,n_latrine,latrine_gender,bathing_gender,food_freq,food_sup_lac,food_sup_child,food_source,health_issue,health_issue_b,edu_access_i,edu_distance,per_sch,sec_provided,sec_reported,gbv_report,site_lighting,info_main,job_abr,job_farm,job_cattle,job_fishing,job_business
2,Haiti,27/06/17,815-01-S002,EcoleNationaleNouvelledechambellan,GrandeAnse,Chambellan,Dejean,18.55079,-74.30723,SurlaroutedechambellanÅçl'entr_e,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,Concrete,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Chambellan,Dejean,Unknown,Unknown,Unknown,Unknown,Unknown,4,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,27/06/17,815-01-S007,EgliseCatholiquedechambellan,GrandeAnse,Chambellan,Dejean,18.55111,-74.313,SurlaroutedechambellanÅçl'entr_e,Spontaneous,GroupSites,Church,No,No,No,Unknown,Unknown,No,WoodenBuilding,"Yes,Generator",Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Chambellan,Dejean,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,28/06/17,811-08-S012,CollegeStLouis,GrandeAnse,Jeremie,FondRougeDaiyer,18.64309,-74.11722,Rochasse,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,Concrete,"Yes,Regularly","Yes,NationalWaterandSanitationCompany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Jeremie,FondRougeDaiyer,Unknown,Unknown,Unknown,Unknown,Unknown,6,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,812-02-S006,EgliseCatholiqueAbricots,GrandeAnse,Abricots,Balisier,18.65013,-74.30727,Ac•_t_delaplace,Spontaneous,GroupSites,Church,No,No,No,Unknown,Unknown,No,WoodenBuilding,"Yes,Generator",Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,Balisier,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,,FondationparadisdesIndiens,GrandeAnse,Abricots,Danglise,18.65302,-74.30399,Al'entr_edeCimetieredesAbricots,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,Concrete,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,Danglise,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,,EcoleNationaleBaptiste,GrandeAnse,Abricots,Balisier,18.61538,-74.3008,Abricots,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,WoodenBuilding,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,Balisier,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,812-04-S002,EcoleNationaleStVictor,GrandeAnse,Abricots,LaSeringue,18.63256,-74.34663,Abricots,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,WoodenBuilding,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,LaSeringue,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,812-02-S003,EcoleHenryChristophe,GrandeAnse,Abricots,Balisier,18.64878,-74.30363,Abricots,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,WoodenBuilding,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,Balisier,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,,EcoleStJosephdesSoeursSteTh_rÅ_se,GrandeAnse,Abricots,Balisier,18.65024,-74.30672,Abricots,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,Concrete,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,Balisier,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
2,Haiti,29/06/17,,EcoleSat_liteFondationParadisdesIndiens,GrandeAnse,Abricots,Danglise,18.65236,-74.30437,Abricots,Spontaneous,GroupSites,School,No,No,No,Unknown,Unknown,No,Concrete,Noelectricity,Norunningwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,PlaceofOrigin,GrandeAnse,Abricots,Danglise,Unknown,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,Market,None,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0%,0%,0%,0%
